entry_time,exit_time,type,entry_price,exit_price,sl,tp,lot_size,pips,profit,balance,reason,bars_held,conditions,has_order_block
2025-01-02 01:25:00,2025-01-02 10:45:00,BUY,1.03507,1.03371525,1.03371525,1.0391342499999998,0.74,-135.47499999999602,-100.25149999999705,9899.748500000003,Stop Loss,112,2,True
2025-01-02 10:50:00,2025-01-02 13:30:00,BUY,1.03217,1.031167142857143,1.031167142857143,1.0351785714285713,0.99,-100.28571428570831,-99.28285714285123,9800.465642857152,Stop Loss,32,2,False
2025-01-02 13:30:00,2025-01-02 16:00:00,SELL,1.03226,1.02579986,1.03441338,1.02579986,0.46,646.0139999999947,297.1664399999976,10097.63208285715,Take Profit,30,3,True
2025-01-02 16:05:00,2025-01-03 21:05:00,BUY,1.02522,1.0308899999999999,1.02333,1.0308899999999999,0.53,566.9999999999841,300.5099999999916,10398.14208285714,Take Profit,337,2,False
2025-01-03 21:05:00,2025-01-06 11:10:00,BUY,1.03092,1.03799877,1.02856041,1.03799877,0.44,707.8769999999901,311.46587999999565,10709.607962857137,Take Profit,168,2,True
2025-01-06 11:35:00,2025-01-06 14:15:00,SELL,1.04228,1.0365071428571433,1.0442042857142857,1.0365071428571433,0.56,577.2857142856801,323.2799999999809,11032.887962857118,Take Profit,32,3,False
2025-01-06 14:20:00,2025-01-07 07:40:00,BUY,1.03627,1.0420107142857142,1.0343564285714286,1.0420107142857142,0.58,574.0714285714209,332.9614285714241,11365.849391428541,Take Profit,208,3,False
2025-01-07 07:45:00,2025-01-07 12:35:00,BUY,1.0412,1.0399589999999999,1.0399589999999999,1.044923,0.92,-124.10000000000475,-114.17200000000437,11251.677391428537,Stop Loss,58,2,True
2025-01-07 12:35:00,2025-01-07 21:05:00,SELL,1.04024,1.0341463100000006,1.0422712299999999,1.0341463100000006,0.55,609.3689999999485,335.1529499999717,11586.83034142851,Take Profit,102,2,True
2025-01-07 21:40:00,2025-01-10 13:30:00,SELL,1.03404,1.025382330000001,1.0369258899999998,1.025382330000001,0.4,865.7669999999173,346.3067999999669,11933.137141428477,Take Profit,765,2,True
2025-01-10 13:35:00,2025-01-13 03:40:00,BUY,1.02342,1.0216821428571428,1.0216821428571428,1.0286335714285717,0.6900000000000001,-173.78571428572351,-119.91214285714923,11813.224998571328,Stop Loss,168,2,False
2025-01-13 04:00:00,2025-01-13 04:30:00,BUY,1.0218,1.0211925,1.0211925,1.0236225000000003,1.94,-60.7500000000094,-117.85500000001824,11695.36999857131,Stop Loss,6,2,False
2025-01-13 06:20:00,2025-01-13 22:55:00,SELL,1.02187,1.02505403,1.02505403,1.0123179100000004,0.37,-318.40299999998933,-117.80910999999605,11577.560888571314,Stop Loss,198,3,True
2025-01-13 23:05:00,2025-01-13 23:10:00,SELL,1.02555,1.0261757142857142,1.0261757142857142,1.0236728571428573,1.85,-62.57142857142294,-115.75714285713245,11461.803745714182,Stop Loss,1,2,False
2025-01-13 23:20:00,2025-01-14 01:30:00,BUY,1.02647,1.02422475,1.02422475,1.0332057500000003,0.51,-224.52500000000873,-114.50775000000445,11347.295995714177,Stop Loss,26,2,True
2025-01-14 01:40:00,2025-01-14 07:05:00,SELL,1.02451,1.0262652399999999,1.0262652399999999,1.0192442800000006,0.65,-175.52399999998246,-114.09059999998861,11233.205395714189,Stop Loss,65,2,True
2025-01-14 07:10:00,2025-01-15 13:30:00,BUY,1.02557,1.0317935600000003,1.02349548,1.0317935600000003,0.54,622.3560000000239,336.0722400000129,11569.277635714201,Take Profit,364,2,True
2025-01-15 13:35:00,2025-01-15 13:55:00,SELL,1.03353,1.0347782142857143,1.0347782142857143,1.0297853571428575,0.93,-124.82142857141997,-116.08392857142059,11453.19370714278,Stop Loss,4,2,False
2025-01-15 13:55:00,2025-01-15 15:05:00,BUY,1.0344,1.0314475200000002,1.0314475200000002,1.0432574399999994,0.39,-295.2479999999813,-115.14671999999271,11338.046987142787,Stop Loss,14,2,True
2025-01-15 15:10:00,2025-01-15 15:45:00,BUY,1.03225,1.0309374999999998,1.0309374999999998,1.0361875,0.86,-131.25000000000497,-112.87500000000428,11225.171987142783,Stop Loss,7,3,False
2025-01-15 15:55:00,2025-01-15 16:05:00,BUY,1.03058,1.0293682142857143,1.0293682142857143,1.0342153571428572,0.93,-121.17857142857068,-112.69607142857073,11112.475915714213,Stop Loss,2,3,False
2025-01-15 16:35:00,2025-01-16 13:30:00,BUY,1.02754,1.0261364285714285,1.0261364285714285,1.031750714285714,0.79,-140.35714285713928,-110.88214285714004,11001.593772857072,Stop Loss,251,2,False
2025-01-16 13:30:00,2025-01-16 16:00:00,SELL,1.02738,1.03059957,1.03059957,1.0177212900000001,0.34,-321.95699999999493,-109.46537999999829,10892.128392857074,Stop Loss,30,2,True
2025-01-16 16:10:00,2025-01-16 16:30:00,SELL,1.02919,1.0307457142857144,1.0307457142857144,1.024522857142857,0.7000000000000001,-155.57142857143268,-108.90000000000289,10783.22839285707,Stop Loss,4,2,False
2025-01-16 16:40:00,2025-01-17 15:05:00,SELL,1.03063,1.03215112,1.03215112,1.0260666399999998,0.71,-152.11200000000423,-107.999520000003,10675.228872857067,Stop Loss,269,2,True
2025-01-17 15:15:00,2025-01-17 16:05:00,BUY,1.03154,1.02885012,1.02885012,1.0396096399999997,0.4,-268.9879999999922,-107.5951999999969,10567.633672857071,Stop Loss,10,2,True
2025-01-17 16:05:00,2025-01-20 04:00:00,SELL,1.02871,1.03059957,1.03059957,1.0230412900000003,0.56,-188.9569999999896,-105.81591999999418,10461.817752857078,Stop Loss,142,2,True
2025-01-20 04:00:00,2025-01-20 13:30:00,BUY,1.03064,1.03969595,1.02762135,1.03969595,0.35000000000000003,905.5950000000034,316.9582500000012,10778.77600285708,Take Profit,114,2,True
2025-01-20 13:35:00,2025-01-20 14:40:00,BUY,1.03702,1.0424328571428572,1.0352157142857144,1.0424328571428572,0.6,541.2857142857108,324.7714285714265,11103.547431428506,Take Profit,13,2,False
2025-01-20 14:45:00,2025-01-20 17:25:00,SELL,1.04244,1.035850714285714,1.0446364285714287,1.035850714285714,0.51,658.9285714285963,336.0535714285841,11439.601002857089,Take Profit,32,2,False
2025-01-20 17:30:00,2025-01-20 20:05:00,BUY,1.03895,1.04266625,1.03771125,1.04266625,0.92,371.6249999999865,341.89499999998765,11781.496002857077,Take Profit,31,3,True
2025-01-20 20:15:00,2025-01-21 00:50:00,BUY,1.04169,1.0379809800000002,1.0379809800000002,1.0528170599999995,0.32,-370.90199999998407,-118.6886399999949,11662.807362857082,Stop Loss,55,2,True
2025-01-21 01:00:00,2025-01-21 09:40:00,BUY,1.03593,1.034322857142857,1.034322857142857,1.0407514285714288,0.73,-160.7142857142918,-117.32142857143302,11545.485934285649,Stop Loss,104,3,False
2025-01-21 09:45:00,2025-01-21 13:45:00,BUY,1.03489,1.0374871428571428,1.0340242857142858,1.0374871428571428,1.33,259.71428571427424,345.4199999999848,11890.905934285634,Take Profit,48,2,False
2025-01-21 13:45:00,2025-01-21 18:40:00,BUY,1.03719,1.0434184500000006,1.03511385,1.0434184500000006,0.5700000000000001,622.8450000000496,355.02165000002833,12245.927584285662,Take Profit,59,2,True
2025-01-21 18:40:00,2025-01-21 23:00:00,BUY,1.04319,1.04018877,1.04018877,1.05219369,0.41000000000000003,-300.1229999999966,-123.05042999999861,12122.877154285663,Stop Loss,52,2,True
2025-01-21 23:20:00,2025-01-22 09:50:00,BUY,1.04054,1.0437896428571427,1.0394567857142858,1.0437896428571427,1.12,324.96428571426867,363.95999999998094,12486.837154285644,Take Profit,126,2,False
2025-01-22 09:50:00,2025-01-22 14:10:00,BUY,1.04381,1.0417172399999999,1.0417172399999999,1.05008828,0.6,-209.27600000000265,-125.56560000000158,12361.271554285642,Stop Loss,52,2,True
2025-01-22 14:10:00,2025-01-24 02:40:00,SELL,1.04183,1.0445435,1.0445435,1.0336895,0.46,-271.3500000000035,-124.82100000000162,12236.45055428564,Stop Loss,438,2,True
2025-01-24 03:05:00,2025-01-24 08:10:00,BUY,1.04463,1.0481534999999995,1.0434555,1.0481534999999995,1.04,352.3499999999568,366.4439999999551,12602.894554285596,Take Profit,61,2,True
2025-01-24 08:20:00,2025-01-27 23:20:00,BUY,1.04725,1.04483412,1.04483412,1.0544976400000001,0.52,-241.58800000000366,-125.6257600000019,12477.268794285594,Stop Loss,467,2,True
2025-01-27 23:40:00,2025-01-28 02:05:00,BUY,1.04405,1.042727857142857,1.042727857142857,1.0480164285714284,0.9400000000000001,-132.2142857142827,-124.28142857142575,12352.987365714169,Stop Loss,29,2,False
2025-01-28 02:10:00,2025-01-28 08:55:00,BUY,1.04295,1.0419117857142859,1.0419117857142859,1.0460646428571425,1.19,-103.82142857141562,-123.54749999998458,12229.439865714185,Stop Loss,81,2,False
2025-01-28 08:55:00,2025-01-30 13:55:00,SELL,1.04249,1.0444834399999998,1.0444834399999998,1.0365096800000002,0.61,-199.3439999999902,-121.59983999999402,12107.840025714191,Stop Loss,636,2,True
2025-01-30 14:05:00,2025-01-30 14:45:00,BUY,1.04368,1.0419282142857142,1.0419282142857142,1.048935357142857,0.6900000000000001,-175.17857142856917,-120.87321428571273,11986.966811428478,Stop Loss,8,2,False
2025-01-30 14:45:00,2025-01-30 20:40:00,BUY,1.0424,1.03921974,1.03921974,1.0519407799999998,0.38,-318.0259999999935,-120.84987999999753,11866.11693142848,Stop Loss,71,2,True
2025-01-30 20:45:00,2025-01-30 21:05:00,BUY,1.04074,1.0396814285714284,1.0396814285714284,1.0439157142857147,1.12,-105.85714285715751,-118.56000000001643,11747.556931428464,Stop Loss,4,3,False
2025-01-30 21:15:00,2025-01-31 07:35:00,SELL,1.03965,1.0412249999999998,1.0412249999999998,1.0349250000000003,0.75,-157.4999999999882,-118.12499999999116,11629.431931428473,Stop Loss,124,2,False
2025-01-31 07:35:00,2025-01-31 08:50:00,BUY,1.04094,1.0381907700000002,1.0381907700000002,1.0491876899999995,0.42,-274.92299999998244,-115.46765999999262,11513.96427142848,Stop Loss,15,2,True
2025-01-31 09:05:00,2025-01-31 09:20:00,BUY,1.03768,1.036675,1.036675,1.0406949999999997,1.1500000000000001,-100.49999999999226,-115.5749999999911,11398.389271428488,Stop Loss,3,2,False
2025-01-31 09:20:00,2025-01-31 15:55:00,SELL,1.0369,1.03995892,1.03995892,1.02772324,0.37,-305.8919999999965,-113.1800399999987,11285.20923142849,Stop Loss,79,2,True
2025-01-31 16:00:00,2025-01-31 16:40:00,SELL,1.03931,1.04049946,1.04049946,1.03574162,0.9500000000000001,-118.94599999999754,-112.99869999999767,11172.21053142849,Stop Loss,8,3,True
